Method,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
K-means,0.2110368769302309,1.6814990372949847,7711.340214030351
Hierarchical,0.2833427439321317,1.4155628945897016,9993.829035166558
DBSCAN,0.12966171416985253,1.5648032384170045,1703.1048408920171
Birch,0.23725134355758423,1.5691729960549274,8378.104799645786
OPTICS,0.09583997803749622,2.4820332346693217,3289.5065456541065
